code,name,description,refreshed_at,from_date,to_date
30SE,30-Year Fixed Rate Mortgage Average in the Southeast Region,Units: Percent<br><br>Not Seasonally Adjusted,2019-02-22 04:11:13,1976-03-26,2015-12-31
30SW,30-Year Fixed Rate Mortgage Average in the Southwest Region,Units: Percent<br><br>Not Seasonally Adjusted,2019-02-22 04:11:13,1976-03-26,2015-12-31
30US,30-Year Fixed Rate Mortgage Average in the United States,Units: Percent<br><br>Not Seasonally Adjusted,2019-02-22 04:11:13,1971-04-02,2019-02-21
30W,30-Year Fixed Rate Mortgage Average in the West Region,Units: Percent<br><br>Not Seasonally Adjusted,2019-02-22 04:11:13,1976-03-26,2015-12-31
5NC,5/1-Year Adjustable Rate Mortgage Average in the North Central Region,Units: Percent<br><br>Not Seasonally Adjusted,2019-02-22 04:11:13,2005-01-06,2015-12-31
5NE,5/1-Year Adjustable Rate Mortgage Average in the Northeast Region,Units: Percent<br><br>Not Seasonally Adjusted,2019-02-22 04:11:13,2005-01-06,2015-12-31
5SE,5/1-Year Adjustable Rate Mortgage Average in the Southeast Region,Units: Percent<br><br>Not Seasonally Adjusted,2019-02-22 04:11:13,2005-01-06,2015-12-31
5SW,5/1-Year Adjustable Rate Mortgage Average in the Southwest Region,Units: Percent<br><br>Not Seasonally Adjusted,2019-02-22 04:11:13,2005-01-06,2015-12-31
5US,5/1-Year Adjustable Rate Mortgage Average in the United States,Units: Percent<br><br>Not Seasonally Adjusted,2019-02-22 04:11:13,2005-01-06,2019-02-21
5W,5/1-Year Adjustable Rate Mortgage Average in the West Region,Units: Percent<br><br>Not Seasonally Adjusted,2019-02-22 04:11:13,2005-01-06,2015-12-31
ARM1YR,1-Year Adjustable Rate,"Freddie Mac's Primary Mortgage Market Survey® (PMMS®) surveys lenders each week on the rates and points for their most popular 30-year fixed-rate, 15-year fixed-rate, 5/1 hybrid amortizing adjustable-rate, and 1-year amortizing adjustable-rate mortgage products. The survey is based on first-lien prime conventional conforming mortgages with a loan-to-value of 80 percent. In addition, the adjustable-rate mortgage (ARM) products are indexed to U.S. Treasury yields and lenders are asked for both the initial coupon rate and points as well as the margin on the ARM products.  For more information, see http://www.freddiemac.com/pmms/abtpmms.htm. Freddie Mac was chartered by Congress in 1970 with a public mission to stabilize the nation's residential mortgage markets and expand opportunities for homeownership and affordable rental housing.",2017-09-02 03:04:49,1984-01-06,2015-12-31
ARM5YR,5-Year Adjustable Rate,"Freddie Mac's Primary Mortgage Market Survey® (PMMS®) surveys lenders each week on the rates and points for their most popular 30-year fixed-rate, 15-year fixed-rate, 5/1 hybrid amortizing adjustable-rate, and 1-year amortizing adjustable-rate mortgage products. The survey is based on first-lien prime conventional conforming mortgages with a loan-to-value of 80 percent. In addition, the adjustable-rate mortgage (ARM) products are indexed to U.S. Treasury yields and lenders are asked for both the initial coupon rate and points as well as the margin on the ARM products.  For more information, see http://www.freddiemac.com/pmms/abtpmms.htm. Freddie Mac was chartered by Congress in 1970 with a public mission to stabilize the nation's residential mortgage markets and expand opportunities for homeownership and affordable rental housing.",2019-02-23 02:40:20,2005-01-06,2019-02-21
FIX15YR,15-Year Fix Rate,"Freddie Mac's Primary Mortgage Market Survey® (PMMS®) surveys lenders each week on the rates and points for their most popular 30-year fixed-rate, 15-year fixed-rate, 5/1 hybrid amortizing adjustable-rate, and 1-year amortizing adjustable-rate mortgage products. The survey is based on first-lien prime conventional conforming mortgages with a loan-to-value of 80 percent. In addition, the adjustable-rate mortgage (ARM) products are indexed to U.S. Treasury yields and lenders are asked for both the initial coupon rate and points as well as the margin on the ARM products.  For more information, see http://www.freddiemac.com/pmms/abtpmms.htm. Freddie Mac was chartered by Congress in 1970 with a public mission to stabilize the nation's residential mortgage markets and expand opportunities for homeownership and affordable rental housing.",2019-02-23 02:40:20,1991-08-30,2019-02-21
FIX30YR,30-Year Fix Rate,"Freddie Mac's Primary Mortgage Market Survey® (PMMS®) surveys lenders each week on the rates and points for their most popular 30-year fixed-rate, 15-year fixed-rate, 5/1 hybrid amortizing adjustable-rate, and 1-year amortizing adjustable-rate mortgage products. The survey is based on first-lien prime conventional conforming mortgages with a loan-to-value of 80 percent. In addition, the adjustable-rate mortgage (ARM) products are indexed to U.S. Treasury yields and lenders are asked for both the initial coupon rate and points as well as the margin on the ARM products.  For more information, see http://www.freddiemac.com/pmms/abtpmms.htm. Freddie Mac was chartered by Congress in 1970 with a public mission to stabilize the nation's residential mortgage markets and expand opportunities for homeownership and affordable rental housing.",2019-02-23 02:40:20,1971-04-02,2019-02-21
HPI,House Price Index - All States and US National,"The FMHPI provides a measure of typical price inflation for houses within the U.S. Values are calculated monthly but are released at the end of the following quarter. For example, the FMHPI for October, November, and December are published in late February of the following year. Series are available at three levels of geographical aggregation: Metropolitan Statistical Area (MSA), state, and national. All series begin in January, 1975. The national index is defined as a weighted average of the 50 state indexes and Washington, DC. The FMHPI is based on an ever expanding database of loans purchased by either Freddie Mac or Fannie Mae.",2018-11-03 02:44:33,1975-01-31,2017-12-31
HPI_10180,House Price Indices - Abilene TX,"The FMHPI provides a measure of typical price inflation for houses within the U.S. Values are calculated monthly but are released at the end of the following quarter. For example, the FMHPI for October, November, and December are published in late February of the following year. Series are available at three levels of geographical aggregation: Metropolitan Statistical Area (MSA), state, and national. All series begin in January, 1975. The national index is defined as a weighted average of the 50 state indexes and Washington, DC. The FMHPI is based on an ever expanding database of loans purchased by either Freddie Mac or Fannie Mae.<br><br>Dataset codes for cities are based on CBSA codes (Core-Based Statistical Areas) which are defined in the Quandl documentation. Values are presented as both Not Seasonally Adjusted (NSA) and Seasonally Adjusted (SA).",2019-02-23 02:44:00,1975-01-31,2018-12-31
HPI_10420,House Price Indices - Akron OH,"The FMHPI provides a measure of typical price inflation for houses within the U.S. Values are calculated monthly but are released at the end of the following quarter. For example, the FMHPI for October, November, and December are published in late February of the following year. Series are available at three levels of geographical aggregation: Metropolitan Statistical Area (MSA), state, and national. All series begin in January, 1975. The national index is defined as a weighted average of the 50 state indexes and Washington, DC. The FMHPI is based on an ever expanding database of loans purchased by either Freddie Mac or Fannie Mae.<br><br>Dataset codes for cities are based on CBSA codes (Core-Based Statistical Areas) which are defined in the Quandl documentation. Values are presented as both Not Seasonally Adjusted (NSA) and Seasonally Adjusted (SA).",2019-02-23 02:44:00,1975-01-31,2018-12-31
HPI_10500,House Price Indices - Albany GA,"The FMHPI provides a measure of typical price inflation for houses within the U.S. Values are calculated monthly but are released at the end of the following quarter. For example, the FMHPI for October, November, and December are published in late February of the following year. Series are available at three levels of geographical aggregation: Metropolitan Statistical Area (MSA), state, and national. All series begin in January, 1975. The national index is defined as a weighted average of the 50 state indexes and Washington, DC. The FMHPI is based on an ever expanding database of loans purchased by either Freddie Mac or Fannie Mae.<br><br>Dataset codes for cities are based on CBSA codes (Core-Based Statistical Areas) which are defined in the Quandl documentation. Values are presented as both Not Seasonally Adjusted (NSA) and Seasonally Adjusted (SA).",2019-02-23 02:43:59,1975-01-31,2018-12-31
HPI_10540,House Price Indices - Albany OR,"The FMHPI provides a measure of typical price inflation for houses within the U.S. Values are calculated monthly but are released at the end of the following quarter. For example, the FMHPI for October, November, and December are published in late February of the following year. Series are available at three levels of geographical aggregation: Metropolitan Statistical Area (MSA), state, and national. All series begin in January, 1975. The national index is defined as a weighted average of the 50 state indexes and Washington, DC. The FMHPI is based on an ever expanding database of loans purchased by either Freddie Mac or Fannie Mae.<br><br>Dataset codes for cities are based on CBSA codes (Core-Based Statistical Areas) which are defined in the Quandl documentation. Values are presented as both Not Seasonally Adjusted (NSA) and Seasonally Adjusted (SA).",2019-02-23 02:44:00,1975-01-31,2018-12-31
HPI_10580,House Price Indices - Albany-Schenectady-Troy NY,"The FMHPI provides a measure of typical price inflation for houses within the U.S. Values are calculated monthly but are released at the end of the following quarter. For example, the FMHPI for October, November, and December are published in late February of the following year. Series are available at three levels of geographical aggregation: Metropolitan Statistical Area (MSA), state, and national. All series begin in January, 1975. The national index is defined as a weighted average of the 50 state indexes and Washington, DC. The FMHPI is based on an ever expanding database of loans purchased by either Freddie Mac or Fannie Mae.<br><br>Dataset codes for cities are based on CBSA codes (Core-Based Statistical Areas) which are defined in the Quandl documentation. Values are presented as both Not Seasonally Adjusted (NSA) and Seasonally Adjusted (SA).",2019-02-23 02:44:00,1975-01-31,2018-12-31
HPI_10740,House Price Indices - Albuquerque NM,"The FMHPI provides a measure of typical price inflation for houses within the U.S. Values are calculated monthly but are released at the end of the following quarter. For example, the FMHPI for October, November, and December are published in late February of the following year. Series are available at three levels of geographical aggregation: Metropolitan Statistical Area (MSA), state, and national. All series begin in January, 1975. The national index is defined as a weighted average of the 50 state indexes and Washington, DC. The FMHPI is based on an ever expanding database of loans purchased by either Freddie Mac or Fannie Mae.<br><br>Dataset codes for cities are based on CBSA codes (Core-Based Statistical Areas) which are defined in the Quandl documentation. Values are presented as both Not Seasonally Adjusted (NSA) and Seasonally Adjusted (SA).",2019-02-23 02:44:00,1975-01-31,2018-12-31
HPI_10780,House Price Indices - Alexandria LA,"The FMHPI provides a measure of typical price inflation for houses within the U.S. Values are calculated monthly but are released at the end of the following quarter. For example, the FMHPI for October, November, and December are published in late February of the following year. Series are available at three levels of geographical aggregation: Metropolitan Statistical Area (MSA), state, and national. All series begin in January, 1975. The national index is defined as a weighted average of the 50 state indexes and Washington, DC. The FMHPI is based on an ever expanding database of loans purchased by either Freddie Mac or Fannie Mae.<br><br>Dataset codes for cities are based on CBSA codes (Core-Based Statistical Areas) which are defined in the Quandl documentation. Values are presented as both Not Seasonally Adjusted (NSA) and Seasonally Adjusted (SA).",2019-02-23 02:44:00,1975-01-31,2018-12-31
HPI_10900,House Price Indices - Allentown-Bethlehem-Easton PA-NJ,"The FMHPI provides a measure of typical price inflation for houses within the U.S. Values are calculated monthly but are released at the end of the following quarter. For example, the FMHPI for October, November, and December are published in late February of the following year. Series are available at three levels of geographical aggregation: Metropolitan Statistical Area (MSA), state, and national. All series begin in January, 1975. The national index is defined as a weighted average of the 50 state indexes and Washington, DC. The FMHPI is based on an ever expanding database of loans purchased by either Freddie Mac or Fannie Mae.<br><br>Dataset codes for cities are based on CBSA codes (Core-Based Statistical Areas) which are defined in the Quandl documentation. Values are presented as both Not Seasonally Adjusted (NSA) and Seasonally Adjusted (SA).",2019-02-23 02:44:00,1975-01-31,2018-12-31
HPI_11020,House Price Indices - Altoona PA,"The FMHPI provides a measure of typical price inflation for houses within the U.S. Values are calculated monthly but are released at the end of the following quarter. For example, the FMHPI for October, November, and December are published in late February of the following year. Series are available at three levels of geographical aggregation: Metropolitan Statistical Area (MSA), state, and national. All series begin in January, 1975. The national index is defined as a weighted average of the 50 state indexes and Washington, DC. The FMHPI is based on an ever expanding database of loans purchased by either Freddie Mac or Fannie Mae.<br><br>Dataset codes for cities are based on CBSA codes (Core-Based Statistical Areas) which are defined in the Quandl documentation. Values are presented as both Not Seasonally Adjusted (NSA) and Seasonally Adjusted (SA).",2019-02-23 02:44:00,1975-01-31,2018-12-31
HPI_11100,House Price Indices - Amarillo TX,"The FMHPI provides a measure of typical price inflation for houses within the U.S. Values are calculated monthly but are released at the end of the following quarter. For example, the FMHPI for October, November, and December are published in late February of the following year. Series are available at three levels of geographical aggregation: Metropolitan Statistical Area (MSA), state, and national. All series begin in January, 1975. The national index is defined as a weighted average of the 50 state indexes and Washington, DC. The FMHPI is based on an ever expanding database of loans purchased by either Freddie Mac or Fannie Mae.<br><br>Dataset codes for cities are based on CBSA codes (Core-Based Statistical Areas) which are defined in the Quandl documentation. Values are presented as both Not Seasonally Adjusted (NSA) and Seasonally Adjusted (SA).",2019-02-23 02:44:00,1975-01-31,2018-12-31
HPI_11180,House Price Indices - Ames IA,"The FMHPI provides a measure of typical price inflation for houses within the U.S. Values are calculated monthly but are released at the end of the following quarter. For example, the FMHPI for October, November, and December are published in late February of the following year. Series are available at three levels of geographical aggregation: Metropolitan Statistical Area (MSA), state, and national. All series begin in January, 1975. The national index is defined as a weighted average of the 50 state indexes and Washington, DC. The FMHPI is based on an ever expanding database of loans purchased by either Freddie Mac or Fannie Mae.<br><br>Dataset codes for cities are based on CBSA codes (Core-Based Statistical Areas) which are defined in the Quandl documentation. Values are presented as both Not Seasonally Adjusted (NSA) and Seasonally Adjusted (SA).",2019-02-23 02:44:00,1975-01-31,2018-12-31
HPI_11260,House Price Indices - Anchorage AK,"The FMHPI provides a measure of typical price inflation for houses within the U.S. Values are calculated monthly but are released at the end of the following quarter. For example, the FMHPI for October, November, and December are published in late February of the following year. Series are available at three levels of geographical aggregation: Metropolitan Statistical Area (MSA), state, and national. All series begin in January, 1975. The national index is defined as a weighted average of the 50 state indexes and Washington, DC. The FMHPI is based on an ever expanding database of loans purchased by either Freddie Mac or Fannie Mae.<br><br>Dataset codes for cities are based on CBSA codes (Core-Based Statistical Areas) which are defined in the Quandl documentation. Values are presented as both Not Seasonally Adjusted (NSA) and Seasonally Adjusted (SA).",2019-02-23 02:44:00,1975-01-31,2018-12-31
HPI_11460,House Price Indices - Ann Arbor MI,"The FMHPI provides a measure of typical price inflation for houses within the U.S. Values are calculated monthly but are released at the end of the following quarter. For example, the FMHPI for October, November, and December are published in late February of the following year. Series are available at three levels of geographical aggregation: Metropolitan Statistical Area (MSA), state, and national. All series begin in January, 1975. The national index is defined as a weighted average of the 50 state indexes and Washington, DC. The FMHPI is based on an ever expanding database of loans purchased by either Freddie Mac or Fannie Mae.<br><br>Dataset codes for cities are based on CBSA codes (Core-Based Statistical Areas) which are defined in the Quandl documentation. Values are presented as both Not Seasonally Adjusted (NSA) and Seasonally Adjusted (SA).",2019-02-23 02:44:00,1975-01-31,2018-12-31
HPI_11500,House Price Indices - Anniston-Oxford-Jacksonville AL,"The FMHPI provides a measure of typical price inflation for houses within the U.S. Values are calculated monthly but are released at the end of the following quarter. For example, the FMHPI for October, November, and December are published in late February of the following year. Series are available at three levels of geographical aggregation: Metropolitan Statistical Area (MSA), state, and national. All series begin in January, 1975. The national index is defined as a weighted average of the 50 state indexes and Washington, DC. The FMHPI is based on an ever expanding database of loans purchased by either Freddie Mac or Fannie Mae.<br><br>Dataset codes for cities are based on CBSA codes (Core-Based Statistical Areas) which are defined in the Quandl documentation. Values are presented as both Not Seasonally Adjusted (NSA) and Seasonally Adjusted (SA).",2019-02-23 02:44:00,1975-01-31,2018-12-31
HPI_11540,House Price Indices - Appleton WI,"The FMHPI provides a measure of typical price inflation for houses within the U.S. Values are calculated monthly but are released at the end of the following quarter. For example, the FMHPI for October, November, and December are published in late February of the following year. Series are available at three levels of geographical aggregation: Metropolitan Statistical Area (MSA), state, and national. All series begin in January, 1975. The national index is defined as a weighted average of the 50 state indexes and Washington, DC. The FMHPI is based on an ever expanding database of loans purchased by either Freddie Mac or Fannie Mae.<br><br>Dataset codes for cities are based on CBSA codes (Core-Based Statistical Areas) which are defined in the Quandl documentation. Values are presented as both Not Seasonally Adjusted (NSA) and Seasonally Adjusted (SA).",2019-02-23 02:44:00,1975-01-31,2018-12-31
HPI_11700,House Price Indices - Asheville NC,"The FMHPI provides a measure of typical price inflation for houses within the U.S. Values are calculated monthly but are released at the end of the following quarter. For example, the FMHPI for October, November, and December are published in late February of the following year. Series are available at three levels of geographical aggregation: Metropolitan Statistical Area (MSA), state, and national. All series begin in January, 1975. The national index is defined as a weighted average of the 50 state indexes and Washington, DC. The FMHPI is based on an ever expanding database of loans purchased by either Freddie Mac or Fannie Mae.<br><br>Dataset codes for cities are based on CBSA codes (Core-Based Statistical Areas) which are defined in the Quandl documentation. Values are presented as both Not Seasonally Adjusted (NSA) and Seasonally Adjusted (SA).",2019-02-23 02:44:00,1975-01-31,2018-12-31
HPI_12020,House Price Indices - Athens-Clarke County GA,"The FMHPI provides a measure of typical price inflation for houses within the U.S. Values are calculated monthly but are released at the end of the following quarter. For example, the FMHPI for October, November, and December are published in late February of the following year. Series are available at three levels of geographical aggregation: Metropolitan Statistical Area (MSA), state, and national. All series begin in January, 1975. The national index is defined as a weighted average of the 50 state indexes and Washington, DC. The FMHPI is based on an ever expanding database of loans purchased by either Freddie Mac or Fannie Mae.<br><br>Dataset codes for cities are based on CBSA codes (Core-Based Statistical Areas) which are defined in the Quandl documentation. Values are presented as both Not Seasonally Adjusted (NSA) and Seasonally Adjusted (SA).",2019-02-23 02:44:00,1975-01-31,2018-12-31
HPI_12060,House Price Indices - Atlanta-Sandy Springs-Roswell GA,"The FMHPI provides a measure of typical price inflation for houses within the U.S. Values are calculated monthly but are released at the end of the following quarter. For example, the FMHPI for October, November, and December are published in late February of the following year. Series are available at three levels of geographical aggregation: Metropolitan Statistical Area (MSA), state, and national. All series begin in January, 1975. The national index is defined as a weighted average of the 50 state indexes and Washington, DC. The FMHPI is based on an ever expanding database of loans purchased by either Freddie Mac or Fannie Mae.<br><br>Dataset codes for cities are based on CBSA codes (Core-Based Statistical Areas) which are defined in the Quandl documentation. Values are presented as both Not Seasonally Adjusted (NSA) and Seasonally Adjusted (SA).",2019-02-23 02:44:00,1975-01-31,2018-12-31
HPI_12100,House Price Indices - Atlantic City-Hammonton NJ,"The FMHPI provides a measure of typical price inflation for houses within the U.S. Values are calculated monthly but are released at the end of the following quarter. For example, the FMHPI for October, November, and December are published in late February of the following year. Series are available at three levels of geographical aggregation: Metropolitan Statistical Area (MSA), state, and national. All series begin in January, 1975. The national index is defined as a weighted average of the 50 state indexes and Washington, DC. The FMHPI is based on an ever expanding database of loans purchased by either Freddie Mac or Fannie Mae.<br><br>Dataset codes for cities are based on CBSA codes (Core-Based Statistical Areas) which are defined in the Quandl documentation. Values are presented as both Not Seasonally Adjusted (NSA) and Seasonally Adjusted (SA).",2019-02-23 02:44:00,1975-01-31,2018-12-31
HPI_12220,House Price Indices - Auburn-Opelika AL,"The FMHPI provides a measure of typical price inflation for houses within the U.S. Values are calculated monthly but are released at the end of the following quarter. For example, the FMHPI for October, November, and December are published in late February of the following year. Series are available at three levels of geographical aggregation: Metropolitan Statistical Area (MSA), state, and national. All series begin in January, 1975. The national index is defined as a weighted average of the 50 state indexes and Washington, DC. The FMHPI is based on an ever expanding database of loans purchased by either Freddie Mac or Fannie Mae.<br><br>Dataset codes for cities are based on CBSA codes (Core-Based Statistical Areas) which are defined in the Quandl documentation. Values are presented as both Not Seasonally Adjusted (NSA) and Seasonally Adjusted (SA).",2019-02-23 02:44:00,1975-01-31,2018-12-31
HPI_12260,House Price Indices - Augusta-Richmond County GA-SC,"The FMHPI provides a measure of typical price inflation for houses within the U.S. Values are calculated monthly but are released at the end of the following quarter. For example, the FMHPI for October, November, and December are published in late February of the following year. Series are available at three levels of geographical aggregation: Metropolitan Statistical Area (MSA), state, and national. All series begin in January, 1975. The national index is defined as a weighted average of the 50 state indexes and Washington, DC. The FMHPI is based on an ever expanding database of loans purchased by either Freddie Mac or Fannie Mae.<br><br>Dataset codes for cities are based on CBSA codes (Core-Based Statistical Areas) which are defined in the Quandl documentation. Values are presented as both Not Seasonally Adjusted (NSA) and Seasonally Adjusted (SA).",2019-02-23 02:44:00,1975-01-31,2018-12-31
HPI_12420,House Price Indices - Austin-Round Rock TX,"The FMHPI provides a measure of typical price inflation for houses within the U.S. Values are calculated monthly but are released at the end of the following quarter. For example, the FMHPI for October, November, and December are published in late February of the following year. Series are available at three levels of geographical aggregation: Metropolitan Statistical Area (MSA), state, and national. All series begin in January, 1975. The national index is defined as a weighted average of the 50 state indexes and Washington, DC. The FMHPI is based on an ever expanding database of loans purchased by either Freddie Mac or Fannie Mae.<br><br>Dataset codes for cities are based on CBSA codes (Core-Based Statistical Areas) which are defined in the Quandl documentation. Values are presented as both Not Seasonally Adjusted (NSA) and Seasonally Adjusted (SA).",2019-02-23 02:44:00,1975-01-31,2018-12-31
HPI_12540,House Price Indices - Bakersfield CA,"The FMHPI provides a measure of typical price inflation for houses within the U.S. Values are calculated monthly but are released at the end of the following quarter. For example, the FMHPI for October, November, and December are published in late February of the following year. Series are available at three levels of geographical aggregation: Metropolitan Statistical Area (MSA), state, and national. All series begin in January, 1975. The national index is defined as a weighted average of the 50 state indexes and Washington, DC. The FMHPI is based on an ever expanding database of loans purchased by either Freddie Mac or Fannie Mae.<br><br>Dataset codes for cities are based on CBSA codes (Core-Based Statistical Areas) which are defined in the Quandl documentation. Values are presented as both Not Seasonally Adjusted (NSA) and Seasonally Adjusted (SA).",2019-02-23 02:44:00,1975-01-31,2018-12-31
HPI_12580,House Price Indices - Baltimore-Columbia-Towson MD,"The FMHPI provides a measure of typical price inflation for houses within the U.S. Values are calculated monthly but are released at the end of the following quarter. For example, the FMHPI for October, November, and December are published in late February of the following year. Series are available at three levels of geographical aggregation: Metropolitan Statistical Area (MSA), state, and national. All series begin in January, 1975. The national index is defined as a weighted average of the 50 state indexes and Washington, DC. The FMHPI is based on an ever expanding database of loans purchased by either Freddie Mac or Fannie Mae.<br><br>Dataset codes for cities are based on CBSA codes (Core-Based Statistical Areas) which are defined in the Quandl documentation. Values are presented as both Not Seasonally Adjusted (NSA) and Seasonally Adjusted (SA).",2019-02-23 02:44:00,1975-01-31,2018-12-31
HPI_12620,House Price Indices - Bangor ME,"The FMHPI provides a measure of typical price inflation for houses within the U.S. Values are calculated monthly but are released at the end of the following quarter. For example, the FMHPI for October, November, and December are published in late February of the following year. Series are available at three levels of geographical aggregation: Metropolitan Statistical Area (MSA), state, and national. All series begin in January, 1975. The national index is defined as a weighted average of the 50 state indexes and Washington, DC. The FMHPI is based on an ever expanding database of loans purchased by either Freddie Mac or Fannie Mae.<br><br>Dataset codes for cities are based on CBSA codes (Core-Based Statistical Areas) which are defined in the Quandl documentation. Values are presented as both Not Seasonally Adjusted (NSA) and Seasonally Adjusted (SA).",2019-02-23 02:44:00,1975-01-31,2018-12-31
HPI_12700,House Price Indices - Barnstable Town MA,"The FMHPI provides a measure of typical price inflation for houses within the U.S. Values are calculated monthly but are released at the end of the following quarter. For example, the FMHPI for October, November, and December are published in late February of the following year. Series are available at three levels of geographical aggregation: Metropolitan Statistical Area (MSA), state, and national. All series begin in January, 1975. The national index is defined as a weighted average of the 50 state indexes and Washington, DC. The FMHPI is based on an ever expanding database of loans purchased by either Freddie Mac or Fannie Mae.<br><br>Dataset codes for cities are based on CBSA codes (Core-Based Statistical Areas) which are defined in the Quandl documentation. Values are presented as both Not Seasonally Adjusted (NSA) and Seasonally Adjusted (SA).",2019-02-23 02:44:00,1975-01-31,2018-12-31
HPI_12940,House Price Indices - Baton Rouge LA,"The FMHPI provides a measure of typical price inflation for houses within the U.S. Values are calculated monthly but are released at the end of the following quarter. For example, the FMHPI for October, November, and December are published in late February of the following year. Series are available at three levels of geographical aggregation: Metropolitan Statistical Area (MSA), state, and national. All series begin in January, 1975. The national index is defined as a weighted average of the 50 state indexes and Washington, DC. The FMHPI is based on an ever expanding database of loans purchased by either Freddie Mac or Fannie Mae.<br><br>Dataset codes for cities are based on CBSA codes (Core-Based Statistical Areas) which are defined in the Quandl documentation. Values are presented as both Not Seasonally Adjusted (NSA) and Seasonally Adjusted (SA).",2019-02-23 02:44:00,1975-01-31,2018-12-31
HPI_12980,House Price Indices - Battle Creek MI,"The FMHPI provides a measure of typical price inflation for houses within the U.S. Values are calculated monthly but are released at the end of the following quarter. For example, the FMHPI for October, November, and December are published in late February of the following year. Series are available at three levels of geographical aggregation: Metropolitan Statistical Area (MSA), state, and national. All series begin in January, 1975. The national index is defined as a weighted average of the 50 state indexes and Washington, DC. The FMHPI is based on an ever expanding database of loans purchased by either Freddie Mac or Fannie Mae.<br><br>Dataset codes for cities are based on CBSA codes (Core-Based Statistical Areas) which are defined in the Quandl documentation. Values are presented as both Not Seasonally Adjusted (NSA) and Seasonally Adjusted (SA).",2019-02-23 02:44:00,1975-01-31,2018-12-31
HPI_13020,House Price Indices - Bay City MI,"The FMHPI provides a measure of typical price inflation for houses within the U.S. Values are calculated monthly but are released at the end of the following quarter. For example, the FMHPI for October, November, and December are published in late February of the following year. Series are available at three levels of geographical aggregation: Metropolitan Statistical Area (MSA), state, and national. All series begin in January, 1975. The national index is defined as a weighted average of the 50 state indexes and Washington, DC. The FMHPI is based on an ever expanding database of loans purchased by either Freddie Mac or Fannie Mae.<br><br>Dataset codes for cities are based on CBSA codes (Core-Based Statistical Areas) which are defined in the Quandl documentation. Values are presented as both Not Seasonally Adjusted (NSA) and Seasonally Adjusted (SA).",2019-02-23 02:44:01,1975-01-31,2018-12-31
HPI_13140,House Price Indices - Beaumont-Port Arthur TX,"The FMHPI provides a measure of typical price inflation for houses within the U.S. Values are calculated monthly but are released at the end of the following quarter. For example, the FMHPI for October, November, and December are published in late February of the following year. Series are available at three levels of geographical aggregation: Metropolitan Statistical Area (MSA), state, and national. All series begin in January, 1975. The national index is defined as a weighted average of the 50 state indexes and Washington, DC. The FMHPI is based on an ever expanding database of loans purchased by either Freddie Mac or Fannie Mae.<br><br>Dataset codes for cities are based on CBSA codes (Core-Based Statistical Areas) which are defined in the Quandl documentation. Values are presented as both Not Seasonally Adjusted (NSA) and Seasonally Adjusted (SA).",2019-02-23 02:44:00,1975-01-31,2018-12-31
